CAMPAIGN_ID	PORTFOLIO_ID	TYPE	TARGETING_TYPE	BIDDING_STRATEGY	STATE	NAME	BRAND
434655997605797	141140219477134	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Sova-Fresh_Night_Guard_Spray-B0756L81RX-NB-CNQ-SP-CAT	Sova
533188192131633	141140219477134	sp	MANUAL	MANUAL	ENABLED	Sova-Night_Guard-All-NB-CNQ-SP-CAT-ASIN	Sova
289933567622372	141140219477134	sp	MANUAL	MANUAL	ENABLED	Sova-Night_Guard-All-NB-SP-Exact	Sova
414876962267281	141140219477134	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Sova-Night_Guard-All-NB-SP-Auto	Sova
491799686804870	141140219477134	sp	MANUAL	MANUAL	ENABLED	Sova-All-Branded-SP-BMM	Sova
310839492174978	269707755529920	sp	MANUAL	MANUAL	PAUSED	Stokke-TrippTrapp_Newborn-NB-CNQ-SP-CAT	Stokke
450588131759381	269707755529920	sp	AUTO	MANUAL	PAUSED	Stokke-TrippTrapp_Newborn-NB-SP-Auto	Stokke
427073567951057	269707755529920	sp	MANUAL	MANUAL	PAUSED	Stokke-TrippTrapp_Newborn-Branded-SP-Manual-Broad	Stokke
493715193010005	64174859626068	sp	AUTO	MANUAL	PAUSED	dpHUE-Glossy_Glaze-B0C3WHN2RG-NB-SP-Auto-sub	dpHUE
544929496284553	64174859626068	sp	MANUAL	MANUAL	PAUSED	dpHUE-Glossy_Glaze-B0C3WHN2RG-NB-CNQ-SP-CAT	dpHUE
409195113709432	64174859626068	sp	MANUAL	MANUAL	PAUSED	dpHUE-Glossy_Glaze-Branded-SP-Manual-Broad	dpHUE
373230388246121	29261086040329	sbv			PAUSED	Stevita-SteviaDent-Gum-Storefront-NB-SBV-Phrase	Stevita
383191681846233	29261086040329	sbv			PAUSED	Stevita-SteviaDent-Gum-Storefront-Branded-SBV-Phrase	Stevita
333221169481027	206143429415326	sbv			PAUSED	TrueGrace-TL-Probiotic_D3-Kids-Storefront-NB-SBV-Phrase	True Grace
349686694020486	206143429415326	sbv			PAUSED	TrueGrace-TL-Probiotic_D3-Kids-Storefront-Branded-SBV-Phrase	True Grace
487920135381609	137757003758306	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Fekkai-FB-Bundle-B0BFBPRMXH-NB-SP-Manual-Phrase	FEKKAI
395262239313808	137757003758306	sp	MANUAL	LEGACY_FOR_SALES	ENABLED	Fekkai-TC-Shampoo-1l-2Pack-B0CG2HY7PN-Branded-SP-Manual-Exact	FEKKAI
388395459593312	137757003758306	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Fekkai-FB-Bundle-B0BFBPRMXH-NB-SP-Manual-Exact	FEKKAI
403957020711041	206143429415326	sp	MANUAL	MANUAL	ENABLED	TrueGrace-Multivitamin-Men-30-NB-CNQ-SP-CAT-ASIN	True Grace
462706628980366	206143429415326	sp	MANUAL	MANUAL	PAUSED	TrueGrace-Probiotic-Women-30-NB-CNQ-SP-CAT-ASIN	True Grace
370214561338191	206143429415326	sp	MANUAL	MANUAL	PAUSED	TrueGrace-Multivitamin-Men-40+-30-NB-CNQ-SP-CAT-ASIN	True Grace
398806787276063	206143429415326	sp	MANUAL	MANUAL	PAUSED	TrueGrace-Probiotic-30-NB-CNQ-SP-CAT-ASIN-V2	True Grace
465874501411560	206143429415326	sp	MANUAL	MANUAL	PAUSED	TrueGrace-Multivitamin-Women-40+-30-NB-CNQ-SP-CAT-ASIN	True Grace
295288747469660	206143429415326	sp	MANUAL	MANUAL	PAUSED	TrueGrace-Multivitamin-Women-30-NB-CNQ-SP-CAT-ASIN	True Grace
320915190525864	242621113194999	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Sisu-Go_Mouth_Guard-All-NB-CNQ-SP-CAT	Sisu
524917816226815	242621113194999	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Sisu-3D_Mouth_Guard-All-NB-SP-Auto	Sisu
497859005657238	242621113194999	sp	AUTO	LEGACY_FOR_SALES	ENABLED	Sisu-Aero_Mouth_Guard-All-NB-SP-Auto	Sisu
518550009133364	242621113194999	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Sisu-Max_Mouth_Guard-All-NB-SP-Auto	Sisu
488028802938671	242621113194999	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Sisu-3D_Mouth_Guard-All-NB-CNQ-SP-CAT	Sisu
439685746102645	242621113194999	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Sisu-Go_Mouth_Guard-All-NB-SP-Auto	Sisu
336548804020109	189127093032765	sp	MANUAL	MANUAL	PAUSED	NAHS-SinuOrega-NB-SP-CNQ	North American Herb & Spice
304532095604524	53097889230529	sp	MANUAL	MANUAL	PAUSED	BeautyForReal-B01IU9DE14-Eyeliner-BlackMagic-Branded-SP-Broad	Beauty For Real
539078262863426	53097889230529	sp	AUTO	MANUAL	PAUSED	BeautyForReal-Eyeliner-BlackMagic-Branded-SP-Auto	Beauty For Real
316282164477933	60205239185406	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	BeastSports-SuperTestMax-NB-SP-CAT	Beast Sports Nutrition
507405797594790	51645416891488	sp	MANUAL	MANUAL	PAUSED	Xmars AI Triangle-All_Products-Pumpkin_Carving_Set-NB-SP-Manual-Phrase	Triangle GmbH
464740329921631	53097889230529	sp	MANUAL	MANUAL	PAUSED	BeautyForReal-EyeShadow-All-NB-SP-CAT-Price-CNQ	Beauty For Real
